segSize, stress, simple, sync, maxSeg,Avg,,,,,
512,15.279,0.19,0,5,,,,,,
,,,,,,,1 client,2 client,4 client,8 client
512,22.472,0.218,1,5,,Async,15.279,20.563,38.57675,139.437375
,,,,,,Sync,22.472,26.075,38.39275,83.48925
512,26.078,0.26,1,5,,,,,,
512,26.072,0.268,1,5,,,,,,
,,,,,,,,,,
512,20.561,0.243,0,5,,,,,,
512,20.565,0.243,0,5,,,,,,
,,,,,,,,,,
512,38.857,0.181,0,5,,,,,,
512,38.908,0.202,0,5,,,,,,
512,38.698,0.341,0,5,,,,,,
512,37.844,0.372,0,5,,,,,,
,,,,,,,,,,
512,38.555,0.249,1,5,,,,,,
512,38.601,0.241,1,5,,,,,,
512,38.508,0.27,1,5,,,,,,
512,37.907,0.391,1,5,,,,,,
,,,,,,,,,,
,,,,,,,,,,
512,139.635,0.197,0,5,,,,,,
512,139.97,0.201,0,5,,,,,,
512,140.536,0.354,0,5,,,,,,
512,140.51,0.403,0,5,,,,,,
512,139.345,0.968,0,5,,,,,,
512,138.54,1.548,0,5,,,,,,
512,137.067,1.7,0,5,,,,,,
512,139.896,0.875,0,5,,,,,,
,,,,,,,,,,
512,84.099,0.257,1,5,,,,,,
512,84.078,0.27,1,5,,,,,,
512,84.319,0.348,1,5,,,,,,
512,84.095,0.362,1,5,,,,,,
512,83.543,0.703,1,5,,,,,,
512,83.331,0.749,1,5,,,,,,
512,82.869,0.846,1,5,,,,,,
512,81.58,1.049,1,5,,,,,,
